																		T	Q number		Examiner			Year	Description	
																			3S		Ošlejšek			2017	Use Case diagram. Přiznám se, že jsem to tahal hodně z paty a věděl jenom ty obecnější věci, takže tady mě (právem) hodně vydusil. Začal jsem nakreslením jednoduchého diagramu, pak se mě ptal na typy aktérů (uživatelé, systémy, časované akce). Já si od sebe vzpomněl jen na uživatele, na zbytek mě musel dlouho navádět. Dál chtěl rozvést, jak se dokumentují jednotlivé use cases. To jsem jenom hodně obecně popsal a moc spokojený asi nebyl. Pořád se vyptával víc do hloubky, ale nevěděl jsem, co by chtěl slyšet. Pak se ptal jaký existují druhy vazeb. Řekl jsem generalizaci, pak include a extend. U include a extend šel zase víc do hloubky (k čemu to je, jak se to používá). U extend chtěl slyšet o extension point, což ze mě nedostal.	Use Case diagram. I admit that I was dragging it out a lot and only knew the more general things, so he (rightly) suffocated me a lot here. I started by drawing a simple diagram, then he asked me about the types of actors (users, systems, timed actions). I only remembered users, he had to guide me for a long time about the rest. He then wanted to elaborate on how individual use cases are documented. I only described that in a very general way and I guess he wasn't very satisfied. He kept asking more in depth, but I didn't know what he wanted to hear. Then he asked what types of connections exist. I said generalization, then include and extend. With include and extend he went into more depth (what it's for, how it's used). With extend he wanted to hear about the extension point, which he didn't get from me.
																			7S		Ošlejšek			2017	Databaze - Indexovani - husty, ridky index. Popsal jsem indexovani a pak husty a ridky index, ktery jsem i kreslil (kresleni doporucuju, bere to cas a pak uz se mozna nestihnou zeptat na nejaky podly veci 😄). Pak se ptal, jestli znam jeste jiny indexy, tak jsem rekl, B-stromy a popisoval a kreslil spolu s B+ stromama. Ani jsem myslim nerekl vsechny ty podminky urcujici B+ strom. Potom hodne resil ukladani dat pres B+ stromy, jejich vyhody, nevyhody atd. U toho chtel hlavne slyset, ze arita je podle velikosti bloku na disku. Potom se zeptal Dohnal na pouziti indexu s sql dotazama - ze pro dotaz ...WHERE A:5 > 3 nejde pouzit, protoze to neni cisty vyraz (nebo tak nejak), ale pro WHERE A > 5 uz jde pouzit.	Databases - Indexing - dense, sparse index. I described indexing and then dense and sparse index, which I also drew (I recommend drawing, it takes time and then they may not have time to ask about some nasty things 😄). Then he asked if I knew any other indexes, so I said, B-trees and described and drew them together with B+ trees. I don't think I even mentioned all the conditions determining a B+ tree. Then he discussed a lot about storing data via B+ trees, their advantages, disadvantages, etc. He mainly wanted to hear that the arity is based on the block size on the disk. Then he asked Dohnal about using an index with SQL queries - that for the query ...WHERE A:5 > 3 it cannot be used, because it is not a clean expression (or something like that), but for WHERE A > 5 it can be used.
																			8S		Ošlejšek			2017	digitalny podpis, hashovanie, PKI, porovnanie asymetricke a symetricke. Par krat som dost zatapal, hlavne na detailnych otazkach pana Oslejska, obcas mi ich musel Matyska preformulovat. A zadrbal som, ze hashovacia funkcia je "random", za co sa mi budu smiat do konca zivota.	digital signature, hashing, PKI, asymmetrical and symmetrical comparison. A couple of times I was quite confused, especially on Mr. Oslejsko's detailed questions, sometimes Matyska had to reformulate them for me. And I guessed that the hashing function is "random", which will make me laugh for the rest of my life.
																			1M		Ráček			2017	sietove diagramy, vela kreslenia. Prvy krat v zivote po mne niekto chcel nieco ine ako F->S, dost komplexne sme to prechadzali a pocitali CP. Potom este doplnujuce otazky na PERT a gantt, inak na pohodu.	network diagrams, lots of drawings. For the first time in my life, someone wanted something other than F->S from me, we went through it quite complexly and calculated CP. Then additional questions on PERT and gantt, otherwise feel free.
																			1M		Ráček			2017	Typy modelu zivotniho cyklu, chtel to znat od zacatku na typech projektu kde bych zvolil jaky typ, za jakych okolnosti atd. Pote SCRUM a RUP metodu kde u RUP chtel slyset presne nazvy jednotlivych etap. Rozdil mezi iterativnim a inkrementalnim cyklem a vse kolem tohodle. V teto otazce jsem se dost machal a zdimal, ale Racek pomahal jak mohl a kde jsem se chytal stebla tak do toho tematu presel. Nakonci rekl, ze uz mu to stacilo, ze ma predstavu o znamce, coz me zarazilo protoze jsem se topil jak kocka a citil jsem z jeho tonu ze za F.	Types of life cycle models, he wanted to know from the beginning about the types of projects where I would choose which type, under what circumstances, etc. Then SCRUM and RUP methods, where in RUP he wanted to hear the exact names of the individual stages. The difference between an iterative and incremental cycle and everything around that. I was quite hesitant and hesitant about this question, but Racek helped as much as he could and where I was struggling, he got right to the point. In the end, he said that he had had enough, that he had an idea about the brand, which surprised me because I was drowning like a cube and I could feel from his tone that he was after F.
																			3S		Ráček			2017	kvalita SW (to co chce z přednášek	quality of the software (what he wants from the lectures
																			1S		Walletzký			2017	2017	2017
																			2S		Walletzký			2017	diamanty, jaké jsou, k čemu, rozdíl mezi see a recognize, jaké tam jsou vazby (nakreslit a vysvětlit)	diamonds, what are they, what are they for, the difference between see and recognize, what are the connections (draw and explain)
																			5M		Walletzký			2017	Jako druhý se ptal Walletzký na marketingové mixy a rozdíl mezi produktovým a service-oriented. Chtěl oba porovnat položku po položce a dával mi na vysvětlení příklady, na kterých se to celkem těžce vysvětlovalo. Hodně jsme se zasekli na Price / Cost. Doporučuju si to pořádně nastudovat.	Walletzký was the second to ask about marketing mixes and the difference between product and service-oriented. He wanted to compare both item by item and gave me examples to explain it, which was quite difficult to explain. We got stuck a lot on Price / Cost. I recommend studying it thoroughly.
																			8S		Bartek			2018	Biometria, jej typy, ako sa da zneuzit, aka je hlavna nevyhoda, ako sa biometricke systemy brania podvodom, modalita biometrickych systemov a zvysenie bezpecnosti, biometria ako podpora beznych zabezpecovacich metod. (To som vsetko pekne odsypal)	Biometrics, its types, how it can be misused, what is the main disadvantage, how biometric systems are used against fraud, the modality of biometric systems and increased security, biometrics as a support for non-existent security methods. (I poured it all out nicely)
																			4S		Batko			2018	Architektury PC, ich vyhody nevyhody, ako by som charakterizoval architekturu a naco su nam vobec	PC architectures, their advantages and disadvantages, how I would characterize the architecture and why we need them at all
																			4S		Batko			2018	SOA, zakladne principy, priklad na co sa pouziva, potom co je ESB a na co je to dobre.	SOA, basic principles, an example of what it is used for, then what ESB is and what it is good for.
																			1M		Bühnová			2018	Project Management (obecně, diagramy, rizika)	Project Management (general, diagrams, risks)
																			2M		Bühnová			2018	BPM, všeobecne plus nakresliť jednoduchý proces ako príklad z diplomky, nevedela som nejaké konkrétne značky, ale bolo jej to dosť jedno, potom sa ma ešte spýtala nech jej vymenujem diagramy, ktoré sú v UML	BPM, in general plus drawing a simple process as an example from the diploma, I didn't know any specific brands, but he didn't care enough, then she asked me to name the diagrams that are in UML
																			5S		Bühnová			2018	distribuovane systemy zaklady, ich vyhody nevyhody (spolahlivost, kvalita, bezpecnost), skalovatelnost (horiz./vert.)	distributed systems basics, their advantages and disadvantages (reliability, quality, security), scalability (horiz./vert.)
																			4S		Dohnal			2018	MVC, SOA - popsat, proč se to dělá, praktická aplikace apod.	MVC, SOA - describe why it is done, practical application, etc.
																			5S		Dohnal			2018	distribuovane systemy, vsetko mozne z tejto temy, charakteriskiky, porovnat cetralizovany a distribuovany, data sharding, architektury, skalovatelnost...	distributed systems, everything possible from this topic, characteristics, compare centralized and distributed, data sharding, architectures, scalability...
																			6S		Dohnal			2018	siete, iso osi, vsetky vrstvy, potom sa pytal co vsetko dostanem ked sa pripojim k sieti	networks, iso axes, all layers, then he asked what all I get when I connect to the network
																			6S		Dohnal			2018	OSI vrstvy, směrování, IPv4, UDP, TCP	OSI layers, routing, IPv4, UDP, TCP
																			8S		Dohnal			2018	asymetricka kryptografie, jak funguje, jestli spolu nejak klice souvisi a da se teda pouzit i opacne (narazel na digitalni podpis), potom co je to hasovaci funkce, vlastnosti, co je kolize a proc se nepodpisuje cely soubor,, pak jestli se napr. v tomssl pouziva jen asymetricka nebo i symetricka a proc... proste zaklady otazky navazovaly na to co jsem rikaL. princip defie helman ze je stejny jako v asymetricke kryptografii s klicema	asymmetric cryptography, how it works, if the keys are somehow related and can it be used the other way around (it came across a digital signature), then what is a hash function, properties, what is a collision and why is the entire file not signed, then if for example in tomssl only asymmetric or also symmetric is used and why... simply the basics of the question were related to what I saidL. the principle of defie helman is the same as in asymmetric cryptography with keys
																			8S		Dohnal			2018	autentizace, autorizace, acl, pak se ptal ještě na ukládání hesel přes co sme došli k hashování (ptal se na vlastnosti), zabrousili jsme i do solení hesel	authentication, authorization, ACL, then he asked about storing passwords, which led us to hashing (he asked about properties), we also delved into salting passwords
